source,incident_id,incident_date,formated_date,county,range,contained,company,incident_type,total_gallons,chem_gallons,water_gallons,oil,brine,other,water,note
o,2.01302E+13,2/1/2013,2013-02,DUNN,14709401,Yes,Petro-Hunt,Valve,0,0,0,0,0,0,0,
o,2.01301E+13,1/22/2013,2013-01,MCKENZIE,15010121,Yes,Triangle Usa Petroleum Corporation,Valve,0,0,0,0,0,0,0,
o,2.01301E+13,11/7/2012,2012-11,MCKENZIE,15010114,No,Borejaks Energy Services,Fire,0,0,0,0,0,0,0,
o,2.01301E+13,1/3/2013,2013-01,WILLIAMS,15510105,Yes,Encore Energy,Fire,0,0,0,0,0,0,0,
o,2.01211E+13,11/12/2012,2012-11,MCKENZIE,15209530,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01211E+13,11/7/2012,2012-11,DUNN,14709626,Yes,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01211E+13,11/7/2012,2012-11,DUNN,14809406,Yes,WPX,Other,0,0,0,0,0,0,0,
o,2.0121E+13,10/31/2012,2012-10,WILLIAMS,15709529,Yes,Ranch Oil Company,Truck/Rail,0,0,0,0,0,0,0,
o,2.0121E+13,10/12/2012,2012-10,MCKENZIE,15110028,Yes,Zavanna,Valve,0,0,0,0,0,0,0,
o,2.0121E+13,9/26/2012,2012-09,BOTTINEAU,16308326,No,Zargon Oil,Fire,0,0,0,0,0,0,0,
o,2.0121E+13,6/14/2012,2012-06,MCKENZIE,15309620,No,N/A,Other,0,0,0,0,0,0,0,
o,2.01209E+13,9/23/2012,2012-09,BOWMAN,13010417,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01209E+13,9/14/2012,2012-09,MCKENZIE,15009614,Yes,"Drd Saltwater Disposal, Llc",Fire,0,0,0,0,0,0,0,
o,2.01209E+13,8/31/2012,2012-08,WILLIAMS,15610008,Yes,Liberty Resources,Fire,0,0,0,0,0,0,0,
o,2.01208E+13,8/29/2012,2012-08,WILLIAMS,15809534,Yes,Murex,Other,0,0,0,0,0,0,0,
o,2.01208E+13,8/22/2012,2012-08,MCKENZIE,15110020,Yes,Statoil,Fire,0,0,0,0,0,0,0,
o,2.01208E+13,8/17/2012,2012-08,MCKENZIE,15009520,No,ExxonMobil/XTO,Fire,0,0,0,0,0,0,0,
o,2.01208E+13,8/18/2012,2012-08,WILLIAMS,15610008,Yes,Liberty Resources,Fire,0,0,0,0,0,0,0,
o,2.01208E+13,8/15/2012,2012-08,WILLIAMS,15509809,No,Continental Resources,Valve,0,0,0,0,0,0,0,
o,2.01208E+13,8/5/2012,2012-08,MCKENZIE,14909502,Yes,"Helis Oil & Gas Company, L.L.C.",Fire,0,0,0,0,0,0,0,
o,2.01208E+13,8/6/2012,2012-08,MOUNTRAIL,15209002,No,EOG Resources,Pipeline,0,0,0,0,0,0,0,
o,2.01208E+13,8/6/2012,2012-08,MCKENZIE,15009505,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01207E+13,7/29/2012,2012-07,SLOPE,13310632,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,DNB00000004,6/26/2012,2012-06,BILLINGS,14410203,No,Citation Oil & Gas,Fire,0,0,0,0,0,0,0,
o,2.01206E+13,6/17/2012,2012-06,DIVIDE,16210014,Yes,Baytex,Fire,0,0,0,0,0,0,0,
o,2.01206E+13,6/14/2012,2012-06,DUNN,14209536,No,Oxy,Fire,0,0,0,0,0,0,0,
o,2.01205E+13,5/15/2012,2012-05,MCKENZIE,15309526,No,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01205E+13,5/9/2012,2012-05,MCKENZIE,15009920,Yes,Newfield Production Company,Pipeline,0,0,0,0,0,0,0,
