source	incident_id	incident_date	county	range	contained	company	incident_type	total_gallons	chem_gallons	water_gallons	oil	brine	other	water	note
o	20130801110643	2013-07-31	DUNN	14809336	Yes	WPX	Valve	210	210	0	0	0	210	0	""
o	20130731191410	2013-07-31	MCLEAN	15009033	Yes	QEP	Treater	210	210	0	210	0	0	0	""
o	20130731125657	2013-07-30	DIVIDE	16109925	Yes	Newfield Production Company	Other	210	210	0	210	0	0	0	""
o	20130727192437	2013-07-27	BILLINGS	13910013	Yes	Whiting Oil & Gas	Other	210	210	0	0	210	0	0	""
o	20130725165310	2013-07-25	MCKENZIE	14909417	Yes	EOG Resources	Valve	210	210	0	210	0	0	0	""
o	20130722092431	2013-07-21	MCKENZIE	15109506	Yes	Mbi	Overflow	210	210	0	210	0	0	0	""
o	20130719081540	2013-07-19	DIVIDE	16109524	Yes	Continental Resources	Valve	210	210	0	0	0	210	0	""
o	20130719141532	2013-07-19	DUNN	14809409	Yes	HRC Operating	Overflow	210	210	0	210	0	0	0	""
o	20130718092504	2013-07-18	DUNN	14309705	Yes	Oxy	Truck/Rail	210	210	0	0	210	0	0	""
o	20130712123452	2013-07-10	WILLIAMS	15509730	Yes	Continental Resources	Valve	210	210	0	84	126	0	0	""
o	20130705133438	2013-07-04	BILLINGS	13910111	Yes	Hess Corporation	Pipeline	210	210	0	0	210	0	0	""
o	20130702083208	2013-07-01	MCKENZIE	15110110	Yes	Denbury Onshore	Treater	210	210	0	0	210	0	0	""
o	20130701184028	2013-06-29	DUNN	14709530	Yes	ConocoPhillips/Burlington Resources	Pipeline	210	210	0	0	210	0	0	""
o	20130620154850	2013-06-20	DUNN	14309705	Yes	Oxy	Valve	210	210	0	0	0	210	0	""
o	20130620111532	2013-06-18	DUNN	14609606	Yes	Continental Resources	Overflow	210	210	0	210	0	0	0	""
o	20130616131407	2013-06-16	MOUNTRAIL	15409321	Yes	Hess Corporation	Overflow	210	210	0	0	0	210	0	""
o	20130614094332	2013-06-12	MCKENZIE	14909420	Yes	WPX	Overflow	210	210	0	210	0	0	0	""
o	20130614133253	2013-06-12	DIVIDE	16009534	Yes	Continental Resources	Other	210	210	0	0	210	0	0	""
o	20130613093234	2013-06-12	WILLIAMS	15609820	Yes	Hess Corporation	Tank Leak	210	210	0	0	210	0	0	""
o	20130612075513	2013-06-11	MCKENZIE	14810235	Yes	Sequel Energy	Tank Leak	210	210	0	210	0	0	0	""
o	20130610163949	2013-06-02	MCKENZIE	15110424	Yes	Zenergy	Pump	210	210	0	210	0	0	0	""
o	20130607155751	2013-06-07	MOUNTRAIL	15209101	Yes	EOG Resources	Other	210	210	0	210	0	0	0	""
o	20130602195820	2013-06-02	DIVIDE	16009629	Yes	Continental Resources	Other	210	210	0	0	0	210	0	""
o	20130523171053	2013-05-23	DUNN	14209704	Yes	Oxy	Valve	210	210	0	168	42	0	0	""
o	20130523184516	2013-05-22	WILLIAMS	15510113	Yes	Zenergy	Overflow	210	210	0	210	0	0	0	""
o	20130516095102	2013-05-16	MCKENZIE	15110230	Yes	Zenergy	Other	210	210	0	210	0	0	0	""
o	20130515103208	2013-05-14	MCKENZIE	15309416	Yes	Continental Resources	Overflow	210	210	0	0	0	210	0	""
o	20130506181729	2013-05-06	BOTTINEAU	16208130	Yes	Petro Harvester	Valve	210	210	0	84	126	0	0	""
o	20130506213314	2013-05-02	STARK	14009911	Yes	Whiting Oil & Gas	Valve	210	210	0	210	0	0	0	""
o	20130430055814	2013-04-30	MCKENZIE	15109408	Yes	EOG Resources	Valve	210	210	0	210	0	0	0	""
o	20130427140044	2013-04-25	BURKE	16009328	Yes	Oasis Petroleum	Blowout	210	210	0	210	0	0	0	""
o	20130412074444	2013-04-11	MOUNTRAIL	15209006	Yes	EOG Resources	Other	210	210	0	210	0	0	0	""
o	20130408113951	2013-04-04	MCKENZIE	15009901	Yes	SM Energy	Valve	210	210	0	210	0	0	0	""
o	20130408142916	2013-04-03	MOUNTRAIL	15009211	Yes	WPX	Other	210	210	0	0	0	210	0	""
o	20130403165042	2013-04-03	DUNN	14809334	Yes	Kodiak Oil & Gas	Valve	210	210	0	210	0	0	0	""
o	20130329185900	2013-03-29	BURKE	16009423	Yes	Continental Resources	Other	210	210	0	0	210	0	0	""
o	20140321135408	2014-03-21	WILLIAMS	15710202	No	HRC Operating	Other	210	210	0	210	0	0	0	""
o	20140321113618	2014-03-20	WILLIAMS	15809605	No	Continental Resources	Other	210	210	0	210	0	0	0	""
o	20140315222845	2014-03-15	DIVIDE	13006001	No	ERIC	Valve	210	210	0	0	210	0	0	""
o	20140314174045	2014-03-14	BURKE	16209004	No	Enduro Operating	Treater	210	210	0	210	0	0	0	""
o	20140214122839	2014-02-13	MOUNTRAIL	15309314	No	Whiting Oil & Gas	Treater	210	210	0	210	0	0	0	""
o	20140210160219	2014-02-02	DUNN	14809434	No	Enerplus Resources	Other	210	210	0	210	0	0	0	""
o	20140204081734	2014-02-02	MCKENZIE	15209604	No	Newfield Production Company	Other	210	210	0	0	0	210	0	""
o	20140129161052	2014-01-28	WILLIAMS	15509601	No	Hess Corporation	Other	210	210	0	0	210	0	0	""
o	20140128112746	2014-01-28	MCKENZIE	14810008	No	Encore Energy	Pipeline	210	210	0	210	0	0	0	""
o	20140109141450	2014-01-09	BOWMAN	12910431	No	Encore Energy	Treater	210	210	0	210	0	0	0	""
o	20140113165511	2014-01-07	DIVIDE	16310103	No	American Eagle Energy Corporation	Other	210	210	0	210	0	0	0	""
o	20140104004546	2014-01-03	MCKENZIE	15109614	No	ConocoPhillips/Burlington Resources	Valve	210	210	0	210	0	0	0	""
o	20131231182459	2013-12-31	MOUNTRAIL	15509209	No	Statoil	Treater	210	210	0	210	0	0	0	""
o	20131228215308	2013-12-28	DUNN	14709515	No	ConocoPhillips/Burlington Resources	Other	210	210	0	210	0	0	0	""
o	20131213064959	2013-12-12	DUNN	14809425	No	HRC Operating	Valve	210	210	0	210	0	0	0	""
o	20131211163953	2013-12-11	BOTTINEAU	16308326	No	Zargon Oil	Pipeline	210	210	0	0	210	0	0	""
o	20131202144537	2013-12-02	WILLIAMS	15609532	No	Hess Corporation	Other	210	210	0	210	0	0	0	""
o	20130916161246	2013-09-15	DUNN	14709634	No	Continental Resources	Other	210	210	0	210	0	0	0	""
o	20130726150133	2013-07-26	MCKENZIE	15209317	No	HRC Operating	Pipeline	210	210	0	210	0	0	0	""
o	20130710142801	2013-07-10	BILLINGS	13910211	No	Hess Corporation	Pipeline	210	210	0	0	210	0	0	""
o	20130625114518	2013-06-25	MCKENZIE	14510307	No	Wesco Operating	Valve	210	210	0	210	0	0	0	""
o	20130607164043	2013-06-06	MCKENZIE	14909413	No	WPX	Other	210	210	0	210	0	0	0	""
o	20130604091011	2013-06-01	BURKE	16009324	No	Oasis Petroleum	Stuffing Box	210	210	0	168	42	0	0	""
